Year,Make,Model,Engine,Viscosity,Capacity
2005,Cadillac,ESCALADE EXT,6.0L 8 -cyl Engine Code [N] LQ9 1,0W-30 (Below -29),6 quarts. . . (with filter)After refill check oil level.
2005,Cadillac,SRX,3.6L 6 -cyl Engine Code [7] 7,5W-30 (All TEMPS),6 quarts. . . (with filter)After refill check oil level.
2005,Cadillac,SRX,4.6L 8 -cyl Engine Code [A] LH2 A,5W-30 (All TEMPS),8 quarts. . . (with filter)After refill check oil level.
2005,Cadillac,STS,3.6L 6 -cyl Engine Code [7] 7,5W-30 (All TEMPS),6 quarts. . . (with filter)After refill check oil level.
2005,Cadillac,STS,4.6L 8 -cyl Engine Code [A] LH2 A,5W-30 (All TEMPS),8 quarts. . . (with filter)After refill check oil level.
2005,Cadillac,XLR,4.6L 8 -cyl Engine Code [A] LH2 A,5W-30 (All TEMPS),8 quarts. . . (with filter)After refill check oil level.
2005,Chevrolet,AVEO,1.6L 4 -cyl Engine Code [6] DOHC I4 6,0W-30 (Below -29),4 quarts. . . (with filter)After refill check oil level.
2005,Chevrolet,CAVALIER,2.2L 4 -cyl Engine Code [F] L61 F,0W-30 (Below -29),5 quarts. . . (with filter)After refill check oil level.
2005,Chevrolet,CLASSIC,2.2L 4 -cyl Engine Code [F] L61 F,0W-30 (Below -29),5 quarts. . . (with filter)After refill check oil level.
2005,Chevrolet,COBALT,2.0L 4 -cyl Engine Code [P] LSJ P,5W-30 (All TEMPS),6 quarts. . . (with filter)After refill check oil level.
2005,Chevrolet,COBALT,2.2L 4 -cyl Engine Code [F] L61 F,5W-30 (All TEMPS),5 quarts. . . (with filter)After refill check oil level.
2005,Chevrolet,CORVETTE,6.0L 8 -cyl Engine Code [U] U,5W-30 (All TEMPS),6 quarts. . . (with filter). W/ OCOOLAfter refill check oil level.
2005,Chevrolet,EPICA,2.5L 6 -cyl Engine Code [L] L,0W-30 (Below -29),6.8 quarts. . . (with filter)After refill check oil level.
2005,Chevrolet,IMPALA,3.4L 6 -cyl Engine Code [E] LA1 E,0W-30 (Below -29),4 quarts. . . (with filter)After refill check oil level.
2005,Chevrolet,IMPALA,3.8L 6 -cyl Engine Code [1] L67 1,0W-30 (Below -29),4.5 quarts. . . (with filter)After refill check oil level.
2005,Chevrolet,IMPALA,3.8L 6 -cyl Engine Code [K] L36 K,0W-30 (Below -29),4.5 quarts. . . (with filter)After refill check oil level.
2005,Chevrolet,MALIBU,2.2L 4 -cyl Engine Code [F] L61 F,0W-30 (Below -29),5 quarts. . . (with filter)After refill check oil level.
2005,Chevrolet,MALIBU,3.5L 6 -cyl Engine Code [8] 8,0W-30 (Below -29),4 quarts. . . (with filter)After refill check oil level.
2005,Chevrolet,MALIBU MAXX,3.5L 6 -cyl Engine Code [8] 8,0W-30 (Below -29),4 quarts. . . (with filter)After refill check oil level.
2005,Chevrolet,MONTE CARLO,3.4L 6 -cyl Engine Code [E] LA1 E,0W-30 (Below -29),4 quarts. . . (with filter)After refill check oil level.
2005,Chevrolet,MONTE CARLO,3.8L 6 -cyl Engine Code [1] L67 1,0W-30 (Below -29),4.5 quarts. . . (with filter)After refill check oil level.
2005,Chevrolet,MONTE CARLO,3.8L 6 -cyl Engine Code [K] L36 K,0W-30 (Below -29),4.5 quarts. . . (with filter)After refill check oil level.
2005,Chevrolet,OPTRA,2.0L 4 -cyl Engine Code [Z] Z,0W-30 (Below -29),4.2 quarts. . . (with filter)After refill check oil level.
2005,Chevrolet,UPLANDER,3.5L 6 -cyl Engine Code [L] 7,5W-30 (All TEMPS),4 quarts. . . (with filter)After refill check oil level.
2005,Chevrolet,VENTURE MINI-VAN,3.4L 6 -cyl Engine Code [E] LA1 E,0W-30 (Below -29),4.5 quarts. . . (with filter)After refill check oil level.
2005,Chevrolet Trucks,ASTRO VAN,4.3L 6 -cyl Engine Code [X] LU3 X,10W-30 (Below 20),4.5 quarts. . . (with filter)After refill check oil level.
2005,Chevrolet Trucks,AVALANCHE 1500,5.3L 8 -cyl Engine Code [T] LM7 T,10W-30 (Above -18),6 quarts. . . (with filter)After refill check oil level.
2005,Chevrolet Trucks,AVALANCHE 1500,5.3L 8 -cyl Engine Code [Z] L59 Z Flex,5W-30 (All TEMPS),6 quarts. . . (with filter)After refill check oil level.
2005,Chevrolet Trucks,AVALANCHE 1500,8.1L 8 -cyl Engine Code [G] G,0W-30 (Below -29),6.4 quarts. . . (with filter)After refill check oil level.
2005,Chevrolet Trucks,COLORADO,2.8L 4 -cyl Engine Code [8] 8,5W-30 (All TEMPS),5 quarts. . . (with filter)After refill check oil level.
2005,Chevrolet Trucks,COLORADO,3.5L 5 -cyl Engine Code [6] 6,5W-30 (All TEMPS),6 quarts. . . (with filter)After refill check oil level.
2005,Chevrolet Trucks,EQUINOX,3.4L 6 -cyl Engine Code [F] LNJ F,10W-30 (Above -18),4.5 quarts. . . (with filter)Top-off as necessary.
2005,Chevrolet Trucks,EXPRESS 1500,4.3L 6 -cyl Engine Code [X] LU3 X,0W-30 (Below -29),4.5 quarts. . . (with filter)After refill check oil level.
2005,Chevrolet Trucks,EXPRESS 1500,5.3L 8 -cyl Engine Code [T] LM7 T,5W-30 (All TEMPS),6 quarts. . . (with filter)After refill check oil level.
2005,Chevrolet Trucks,EXPRESS 2500,4.3L 6 -cyl Engine Code [X] LU3 X,0W-30 (Below -29),4.5 quarts. . . (with filter)After refill check oil level.
2005,Chevrolet Trucks,EXPRESS 2500,4.8L 8 -cyl Engine Code [V] V,5W-30 (All TEMPS),6 quarts. . . (with filter)After refill check oil level.
2005,Chevrolet Trucks,EXPRESS 2500,5.3L 8 -cyl Engine Code [T] LM7 T,5W-30 (All TEMPS),6 quarts. . . (with filter)After refill check oil level.
2005,Chevrolet Trucks,EXPRESS 2500,6.0L 8 -cyl Engine Code [U] LQ4 9,0W-30 (Below -29),6 quarts. . . (with filter)After refill check oil level.
2005,Chevrolet Trucks,EXPRESS 2500,6.0L 8 -cyl Engine Code [U] U,0W-30 (Below -29),6 quarts. . . (with filter)After refill check oil level.
2005,Chevrolet Trucks,EXPRESS 3500,4.8L 8 -cyl Engine Code [V] V,0W-30 (Below -29),6 quarts. . . (with filter)After refill check oil level.
2005,Chevrolet Trucks,EXPRESS 3500,6.0L 8 -cyl Engine Code [U] LQ4 9,0W-30 (Below -29),6 quarts. . . (with filter)After refill check oil level.
2005,Chevrolet Trucks,EXPRESS 3500,6.0L 8 -cyl Engine Code [U] U,5W-30 (All TEMPS),6 quarts. . . (with filter)After refill check oil level.
2005,Chevrolet Trucks,S SERIES BLAZER,4.3L 6 -cyl Engine Code [X] LU3 X,0W-30 (Below -29),4.5 quarts. . . (with filter)After refill check oil level.
2005,Chevrolet Trucks,SILVERADO 1500 HD,6.0L 8 -cyl Engine Code [U] U,0W-30 (Below -29),6 quarts. . . (with filter)After refill check oil level.
2005,Chevrolet Trucks,SILVERADO 1500 PICKUP,4.3L 6 -cyl Engine Code [X] LU3 X,0W-30 (Below -29),4.5 quarts. . . (with filter)After refill check oil level.
2005,Chevrolet Trucks,SILVERADO 1500 PICKUP,4.8L 8 -cyl Engine Code [V] V,5W-30 (All TEMPS),6 quarts. . . (with filter)After refill check oil level.
2005,Chevrolet Trucks,SILVERADO 1500 PICKUP,5.3L 8 -cyl Engine Code [B] L33 B,5W-30 (All TEMPS),6 quarts. . . (with filter)After refill check oil level.
2005,Chevrolet Trucks,SILVERADO 1500 PICKUP,5.3L 8 -cyl Engine Code [T] LM7 D,5W-30 (All TEMPS),6 quarts. . . (with filter)After refill check oil level.
2005,Chevrolet Trucks,SILVERADO 1500 PICKUP,5.3L 8 -cyl Engine Code [T] LM7 T,5W-30 (All TEMPS),6 quarts. . . (with filter)After refill check oil level.
2005,Chevrolet Trucks,SILVERADO 1500 PICKUP,5.3L 8 -cyl Engine Code [Z] L59 Z Flex,5W-30 (All TEMPS),6 quarts. . . (with filter)After refill check oil level.
2005,Chevrolet Trucks,SILVERADO 2500 HD PICKUP,6.0L 8 -cyl Engine Code [U] LQ4 9,5W-30 (All TEMPS),6 quarts. . . (with filter)After refill check oil level.
2005,Chevrolet Trucks,SILVERADO 2500 HD PICKUP,6.0L 8 -cyl Engine Code [U] U,5W-30 (All TEMPS),6 quarts. . . (with filter)After refill check oil level.
2005,Chevrolet Trucks,SILVERADO 2500 HD PICKUP,6.6L 8 -cyl Engine Code [1] LB7 1 Diesel Turbo,"15W-40, 10W-30 (Above -18)",10 quarts. . . (with filter)After refill check oil level.
2005,Chevrolet Trucks,SILVERADO 2500 HD PICKUP,6.6L 8 -cyl Engine Code [2] LLY 2 Diesel Turbo,"15W-40, 10W-30 (Above -18)",10 quarts. . . (with filter)After refill check oil level.
2005,Chevrolet Trucks,SILVERADO 2500 HD PICKUP,8.1L 8 -cyl Engine Code [G] G,5W-30 (All TEMPS),6.4 quarts. . . (with filter)After refill check oil level.
2005,Chevrolet Trucks,SILVERADO 3500 PICKUP,6.0L 8 -cyl Engine Code [U] LQ4 9,0W-30 (Below -29),6 quarts. . . (with filter)After refill check oil level.
2005,Chevrolet Trucks,SILVERADO 3500 PICKUP,6.0L 8 -cyl Engine Code [U] U,5W-30 (All TEMPS),6 quarts. . . (with filter)After refill check oil level.
2005,Chevrolet Trucks,SILVERADO 3500 PICKUP,6.6L 8 -cyl Engine Code [2] LLY 2 Diesel Turbo,"15W-40, 10W-30 (Above -18)",10 quarts. . . (with filter)After refill check oil level.
2005,Chevrolet Trucks,SILVERADO 3500 PICKUP,8.1L 8 -cyl Engine Code [G] G,5W-30 (All TEMPS),6.4 quarts. . . (with filter)After refill check oil level.
2005,Chevrolet Trucks,SSR,6.0L 8 -cyl Engine Code [H] H,5W-30 (All TEMPS),6 quarts. . . (with filter)After refill check oil level.
2005,Chevrolet Trucks,SUBURBAN,5.3L 8 -cyl Engine Code [T] LM7 T,5W-30 (All TEMPS),6 quarts. . . (with filter)After refill check oil level.
2005,Chevrolet Trucks,SUBURBAN,5.3L 8 -cyl Engine Code [Z] L59 Z Flex,5W-30 (All TEMPS),6 quarts. . . (with filter)After refill check oil level.
2005,Chevrolet Trucks,SUBURBAN,6.0L 8 -cyl Engine Code [U] U,5W-30 (All TEMPS),6 quarts. . . (with filter)After refill check oil level.
2005,Chevrolet Trucks,SUBURBAN,8.1L 8 -cyl Engine Code [G] G,5W-30 (All TEMPS),6.4 quarts. . . (with filter)After refill check oil level.
2005,Chevrolet Trucks,TAHOE,4.8L 8 -cyl Engine Code [V] V,5W-30 (All TEMPS),6 quarts. . . (with filter)After refill check oil level.
2005,Chevrolet Trucks,TAHOE,5.3L 8 -cyl Engine Code [T] LM7 T,5W-30 (All TEMPS),6 quarts. . . (with filter)After refill check oil level.
2005,Chevrolet Trucks,TAHOE,5.3L 8 -cyl Engine Code [Z] L59 Z Flex,5W-30 (All TEMPS),6 quarts. . . (with filter)After refill check oil level.
2005,Chevrolet Trucks,TRAILBLAZER,4.2L 6 -cyl Engine Code [S] LL8 S,5W-30 (All TEMPS),7 quarts. . . (with filter)After refill check oil level.
2005,Chevrolet Trucks,TRAILBLAZER,5.3L 8 -cyl Engine Code [M] LH6 M,5W-30 (All TEMPS),6 quarts. . . (with filter)After refill check oil level.
2005,Chrysler,300,2.7L 6 -cyl Engine Code [R] EER T,5W-20 (All TEMPS),6 quarts. . . (with filter)After refill check oil level.
2005,Chrysler,300,3.5L 6 -cyl Engine Code [G] I,10W-30 (All TEMPS),6 quarts. . . (with filter)After refill check oil level.
2005,Chrysler,300,5.7L 8 -cyl Engine Code [H] K,5W-20 (All TEMPS),7 quarts. . . (with filter)After refill check oil level.
2005,Chrysler,300,6.1L 8 -cyl Engine Code [W] V,0W-40 (All TEMPS),7 quarts. . . (with filter)After refill check oil level.
2005,Chrysler,CROSSFIRE,3.2L 6 -cyl Engine Code [L] N,"0W-40, 5W-40 (All TEMPS)",8.5 quarts. . . (with filter)After refill check oil level.
2005,Chrysler,CROSSFIRE,3.2L 6 -cyl Engine Code [N] O,"0W-40, 5W-40 (All TEMPS)",8.5 quarts. . . (with filter)After refill check oil level.
2005,Chrysler,PACIFICA,3.5L 6 -cyl Engine Code [4] 4,10W-30 (Above -18),5.5 quarts. . . (with filter)After refill check oil level.
2005,Chrysler,PACIFICA,3.8L 6 -cyl Engine Code [L] L,5W-20 (All TEMPS),5 quarts. . . (with filter)After refill check oil level.
2005,Chrysler,PT CRUISER,2.4L 4 -cyl Engine Code [8] 8 Turbo,5W-30 (All TEMPS),5.1 quarts. . . (with filter)After refill check oil level.
2005,Chrysler,PT CRUISER,2.4L 4 -cyl Engine Code [B] B,5W-30 (All TEMPS),5.1 quarts. . . (with filter)After refill check oil level.
2005,Chrysler,PT CRUISER,2.4L 4 -cyl Engine Code [E] F Turbo,5W-30 (All TEMPS),5 quarts. . . (with filter)After refill check oil level.
2005,Chrysler,PT CRUISER,2.4L 4 -cyl Engine Code [G] G Turbo,5W-30 (All TEMPS),5.1 quarts. . . (with filter)After refill check oil level.
2005,Chrysler,PT CRUISER,2.4L 4 -cyl Engine Code [S] S Turbo,5W-30 (All TEMPS),5.1 quarts. . . (with filter)After refill check oil level.
2005,Chrysler,PT CRUISER,2.4L 4 -cyl Engine Code [X] EDZ X,5W-30 (All TEMPS),5 quarts. . . (with filter)After refill check oil level.
2005,Chrysler,SEBRING,2.4L 4 -cyl Engine Code [J] ED2 5,N/A,N/A
2005,Chrysler,SEBRING,2.4L 4 -cyl Engine Code [X] EDZ X,5W-30 (All TEMPS),5 quarts. . . (with filter)After refill check oil level.
2005,Chrysler,SEBRING,2.7L 6 -cyl Engine Code [R] EER T,"5W-20, 5W-30 (All TEMPS)",5 quarts. . . (with filter)After refill check oil level.
2005,Chrysler,SEBRING,2.7L 6 -cyl Engine Code [T] 2 Flex,10W-30 (Below -18),5 quarts. . . (with filter)After refill check oil level.
2005,Chrysler,SEBRING,3.0L 6 -cyl Engine Code [H] H,10W-30 (Above -18),4.5 quarts. . . (with filter)After refill check oil level.
2005,Chrysler,SEBRING COUPE 2 DOOR,2.4L 4 -cyl Engine Code [G] SOHC W,5W-30 (All TEMPS),4.5 quarts. . . (with filter)After refill check oil level.
2005,Chrysler,TOWN AND COUNTRY,3.3L 6 -cyl Engine Code [R] R,"5W-30, 5W-20 (All TEMPS)",5 quarts. . . (with filter)After refill check oil level.
2005,Chrysler,TOWN AND COUNTRY,3.8L 6 -cyl Engine Code [L] L,"5W-30, 5W-20 (All TEMPS)",5 quarts. . . (with filter)After refill check oil level.
2005,Dodge,CARAVAN,2.4L 4 -cyl Engine Code [B] B,5W-30 (All TEMPS),5 quarts. . . (with filter)After refill check oil level.
2005,Dodge,CARAVAN,3.3L 6 -cyl Engine Code [E] EGM 0 Flex,5W-20 (All TEMPS),5 quarts. . . (with filter)After refill check oil level.
2005,Dodge,CARAVAN,3.3L 6 -cyl Engine Code [E] EGV E Flex,5W-20 (All TEMPS),5 quarts. . . (with filter)After refill check oil level.
2005,Dodge,CARAVAN,3.3L 6 -cyl Engine Code [R] 1,5W-20 (All TEMPS),5 quarts. . . (with filter)After refill check oil level.
2005,Dodge,GRAND CARAVAN,3.3L 6 -cyl Engine Code [E] EGV E Flex,5W-20 (All TEMPS),5 quarts. . . (with filter)After refill check oil level.
2005,Dodge,GRAND CARAVAN,3.3L 6 -cyl Engine Code [R] 1,"5W-20, 5W-30 (All TEMPS)",5 quarts. . . (with filter)After refill check oil level.
2005,Dodge,GRAND CARAVAN,3.8L 6 -cyl Engine Code [L] L,"5W-20, 5W-30 (All TEMPS)",5 quarts. . . (with filter)After refill check oil level.
2005,Dodge,MAGNUM,2.7L 6 -cyl Engine Code [T] Y,5W-20 (All TEMPS),6 quarts. . . (with filter)After refill check oil level.
2005,Dodge,MAGNUM,3.5L 6 -cyl Engine Code [V] SOHC G,10W-30 (All TEMPS),6 quarts. . . (with filter)After refill check oil level.
2005,Dodge,MAGNUM,5.7L 8 -cyl Engine Code [2] K,5W-20 (All TEMPS),7 quarts. . . (with filter)After refill check oil level.
2005,Dodge,NEON,2.0L 4 -cyl Engine Code [C] C,5W-20 (All TEMPS),4.5 quarts. . . (with filter)After refill check oil level.
2005,Dodge,NEON,2.4L 4 -cyl Engine Code [S] S Turbo,10W-30 (Above -18),5.1 quarts. . . (with filter)After refill check oil level.
2005,Dodge,STRATUS,2.4L 4 -cyl Engine Code [G] W,10W-30 (Above -18),5 quarts. . . (with filter)After refill check oil level.
2005,Dodge,STRATUS,2.4L 4 -cyl Engine Code [J] J,5W-30 (All TEMPS),5 quarts. . . (with filter)After refill check oil level.
2005,Dodge,STRATUS,2.4L 4 -cyl Engine Code [X] EDZ X,5W-30 (All TEMPS),5 quarts. . . (with filter)After refill check oil level.
2005,Dodge,STRATUS,2.7L 6 -cyl Engine Code [R] EER T,10W-30 (Above -18),5 quarts. . . (with filter)After refill check oil level.
2005,Dodge,STRATUS,2.7L 6 -cyl Engine Code [T] 2 Flex,"5W-20, 5W-30 (Below 38)",5 quarts. . . (with filter)After refill check oil level.
2005,Dodge,STRATUS COUPE 2 DOOR,3.0L 6 -cyl Engine Code [H] H,10W-30 (Above -18),4.5 quarts. . . (with filter)After refill check oil level.
2005,Dodge,SX 2.0,2.0L 4 -cyl Engine Code [C] C,N/A,N/A
2005,Dodge,VIPER,8.3L 10-cyl Engine Code [Z] Z,0W-40 (All TEMPS),10 quarts. . . (with filter)After refill check oil level.
2005,Dodge Trucks,DAKOTA,3.7L 6 -cyl Engine Code [K] K,5W-30 (All TEMPS),5 quarts. . . (with filter)After refill check oil level.
2005,Dodge Trucks,DAKOTA,4.7L 8 -cyl Engine Code [J] J,5W-30 (All TEMPS),6 quarts. . . (with filter)After refill check oil level.
2005,Dodge Trucks,DAKOTA,4.7L 8 -cyl Engine Code [N] N,5W-30 (All TEMPS),6 quarts. . . (with filter)After refill check oil level.
2005,Dodge Trucks,DURANGO,3.7L 6 -cyl Engine Code [K] K,5W-30 (All TEMPS),5 quarts. . . (with filter)After refill check oil level.
2005,Dodge Trucks,DURANGO,4.7L 8 -cyl Engine Code [N] N,5W-30 (All TEMPS),5.9 quarts. . . (with filter)After refill check oil level.
2005,Dodge Trucks,DURANGO,5.7L 8 -cyl Engine Code [D] D,5W-20 (All TEMPS),7 quarts. . . (with filter)After refill check oil level.
2005,Dodge Trucks,RAM 1500 PICKUP,3.7L 6 -cyl Engine Code [K] K,5W-30 (All TEMPS),5 quarts. . . (with filter)After refill check oil level.
2005,Dodge Trucks,RAM 1500 PICKUP,4.7L 8 -cyl Engine Code [N] N,5W-30 (All TEMPS),6 quarts. . . (with filter)After refill check oil level.
2005,Dodge Trucks,RAM 1500 PICKUP,4.7L 8 -cyl Engine Code [P] P Flex,5W-30 (All TEMPS),6 quarts. . . (with filter)After refill check oil level.
2005,Dodge Trucks,RAM 1500 PICKUP,5.7L 8 -cyl Engine Code [D] D,5W-20 (All TEMPS),7 quarts. . . (with filter)After refill check oil level.
2005,Dodge Trucks,RAM 1500 PICKUP,8.3L 10-cyl Engine Code [H] E,0W-40 (All TEMPS),8.7 quarts. . . (with filter)After refill check oil level.
2005,Dodge Trucks,RAM 2500,5.9L 6 -cyl Engine Code [C] C Diesel Turbo,15W-40 (Above -18),12 quarts. . . (with filter)After refill check oil level.
2005,Dodge Trucks,RAM 2500 HD PICKUP,5.7L 8 -cyl Engine Code [D] D,5W-20 (All TEMPS),7 quarts. . . (with filter)After refill check oil level.
2005,Dodge Trucks,RAM 2500 HD PICKUP,5.9L 6 -cyl Engine Code [C] C Diesel Turbo,15W-40 (Above -18),12 quarts. . . (with filter)After refill check oil level.
2005,Dodge Trucks,RAM 3500 PICKUP,5.7L 8 -cyl Engine Code [D] D,5W-20 (All TEMPS),7 quarts. . . (with filter)After refill check oil level.
2005,Dodge Trucks,RAM 3500 PICKUP,5.9L 6 -cyl Engine Code [C] C Diesel Turbo,15W-40 (Above -18),12 quarts. . . (with filter)After refill check oil level.
2005,Dodge Trucks,SPRINTER 2500,2.7L 5 -cyl Engine Code [4] 4 Diesel Turbo,"0W-30, 5W-30, 0W-40, 5W-40, 5W-50 (All TEMPS)",9.5 quarts. . . (with filter)After refill check oil level.
2005,Dodge Trucks,SPRINTER 3500,2.7L 5 -cyl Engine Code [4] 4 Diesel Turbo,"0W-30, 5W-30, 0W-40, 5W-40, 5W-50 (All TEMPS)",9.5 quarts. . . (with filter)After refill check oil level.
2005,Ford,CROWN VICTORIA,4.6L 8 -cyl Engine Code [9] 9,5W-20 (All TEMPS),6 quarts. . . (with filter)After refill check oil level.
2005,Ford,CROWN VICTORIA,4.6L 8 -cyl Engine Code [W] W,5W-20 (All TEMPS),6 quarts. . . (with filter)After refill check oil level.
2005,Ford,FIVE HUNDRED,3.0L 6 -cyl Engine Code [1] 1,5W-20 (All TEMPS),6 quarts. . . (with filter)After refill check oil level.
2005,Ford,FOCUS,2.0L 4 -cyl Engine Code [N] N,5W-20 (All TEMPS),4.5 quarts. . . (with filter)After refill check oil level.
2005,Ford,FOCUS,2.3L 4 -cyl Engine Code [Z] Z,5W-20 (All TEMPS),4.5 quarts. . . (with filter)After refill check oil level.
2005,Ford,FREESTAR,3.9L 6 -cyl Engine Code [6] 6,5W-20 (All TEMPS),5 quarts. . . (with filter)After refill check oil level.
2005,Ford,FREESTAR,4.2L 6 -cyl Engine Code [2] B,5W-20 (All TEMPS),5 quarts. . . (with filter)After refill check oil level.
2005,Ford,FREESTYLE,3.0L 6 -cyl Engine Code [1] 1,5W-20 (All TEMPS),6 quarts. . . (with filter)After refill check oil level.
2005,Ford,MUSTANG,4.0L 6 -cyl Engine Code [N] O,5W-30 (All TEMPS),5 quarts. . . (with filter)After refill check oil level.
2005,Ford,MUSTANG,4.6L 8 -cyl Engine Code [H] H,5W-20 (All TEMPS),6 quarts. . . (with filter)After refill check oil level.
2005,Ford,TAURUS,3.0L 6 -cyl Engine Code [2] 2 Flex,5W-20 (All TEMPS),4.5 quarts. . . (with filter)After refill check oil level.
2005,Ford,TAURUS,3.0L 6 -cyl Engine Code [S] S,5W-20 (All TEMPS),6 quarts. . . (with filter)After refill check oil level.
2005,Ford,TAURUS,3.0L 6 -cyl Engine Code [U] U,5W-20 (All TEMPS),4.5 quarts. . . (with filter)After refill check oil level.
2005,Ford,THUNDERBIRD,3.9L 8 -cyl Engine Code [A] A,5W-20 (All TEMPS),6.6 quarts. . . (with filter)After refill check oil level.
2005,Ford Trucks,E-150 CLUB WAGON,4.6L 8 -cyl Engine Code [W] W,5W-20 (All TEMPS),"6 quarts. . . (with filter)When refilling, remove dipstick to provide adequate venting and allow oil to flow into crankcase. After refill, check oil level. Top off to proper level as needed."
2005,Ford Trucks,E-150 CLUB WAGON,5.4L 8 -cyl Engine Code [L] L,5W-20 (All TEMPS),"6 quarts. . . (with filter)When refilling, remove dipstick to provide adequate venting and allow oil to flow into crankcase. After refill, check oil level. Top off to proper level as needed."
2005,Ford Trucks,E-350 CLUB WAGON,5.4L 8 -cyl Engine Code [L] L,5W-20 (All TEMPS),"6 quarts. . . (with filter)When refilling, remove dipstick to provide adequate venting and allow oil to flow into crankcase. After refill, check oil level. Top off to proper level as needed."
2005,Ford Trucks,E-350 CLUB WAGON,6.0L 8 -cyl Engine Code [P] P Diesel Turbo,0W-30 (Below -18),"14.9 quarts. . . (with filter)When refilling, remove dipstick to provide adequate venting and allow oil to flow into crankcase. After refill, check oil level. Top off to proper level as needed."
2005,Ford Trucks,E-350 CLUB WAGON,6.8L 10-cyl Engine Code [S] S,5W-20 (All TEMPS),"6.9 quarts. . . (with filter)When refilling, remove dipstick to provide adequate venting and allow oil to flow into crankcase. After refill, check oil level. Top off to proper level as needed."
2005,Ford Trucks,E150 VAN,4.6L 8 -cyl Engine Code [W] W,5W-20 (All TEMPS),"6 quarts. . . (with filter)When refilling, remove dipstick to provide adequate venting and allow oil to flow into crankcase. After refill, check oil level. Top off to proper level as needed."
2005,Ford Trucks,E150 VAN,5.4L 8 -cyl Engine Code [L] L,5W-20 (All TEMPS),"6 quarts. . . (with filter)When refilling, remove dipstick to provide adequate venting and allow oil to flow into crankcase. After refill, check oil level. Top off to proper level as needed."
2005,Ford Trucks,E250 HD VAN,4.6L 8 -cyl Engine Code [W] W,5W-20 (All TEMPS),"6 quarts. . . (with filter)When refilling, remove dipstick to provide adequate venting and allow oil to flow into crankcase. After refill, check oil level. Top off to proper level as needed."
2005,Ford Trucks,E250 HD VAN,5.4L 8 -cyl Engine Code [L] L,5W-20 (All TEMPS),"6 quarts. . . (with filter)When refilling, remove dipstick to provide adequate venting and allow oil to flow into crankcase. After refill, check oil level. Top off to proper level as needed."
2005,Ford Trucks,E350 VAN,5.4L 8 -cyl Engine Code [L] L,5W-20 (All TEMPS),"6 quarts. . . (with filter)When refilling, remove dipstick to provide adequate venting and allow oil to flow into crankcase. After refill, check oil level. Top off to proper level as needed."
2005,Ford Trucks,E350 VAN,6.0L 8 -cyl Engine Code [P] P Diesel Turbo,0W-30 (-29 To -18),"15 quarts. . . (with filter)When refilling, remove dipstick to provide adequate venting and allow oil to flow into crankcase. After refill, check oil level. Top off to proper level as needed."
2005,Ford Trucks,E350 VAN,6.8L 10-cyl Engine Code [S] S,5W-20 (All TEMPS),"6.9 quarts. . . (with filter)When refilling, remove dipstick to provide adequate venting and allow oil to flow into crankcase. After refill, check oil level. Top off to proper level as needed."
2005,Ford Trucks,E450 VAN,6.0L 8 -cyl Engine Code [P] P Diesel Turbo,0W-30 (Below -18),15 quarts. . . (with filter)After refill check oil level.
2005,Ford Trucks,E450 VAN,6.8L 10-cyl Engine Code [S] S,5W-20 (All TEMPS),"6.9 quarts. . . (with filter)When refilling, remove dipstick to provide adequate venting and allow oil to flow into crankcase. After refill, check oil level. Top off to proper level as needed."
2005,Ford Trucks,ESCAPE,2.3L 4 -cyl Engine Code [H] 3,5W-20 (All TEMPS),"4.5 quarts. . . (with filter)When refilling, remove dipstick to provide adequate venting and allow oil to flow into crankcase. After refill, check oil level. Top off to proper level as needed."
2005,Ford Trucks,ESCAPE,2.3L 4 -cyl Engine Code [Z] Z,5W-20 (All TEMPS),"4.5 quarts. . . (with filter)When refilling, remove dipstick to provide adequate venting and allow oil to flow into crankcase. After refill, check oil level. Top off to proper level as needed."
2005,Ford Trucks,ESCAPE,3.0L 6 -cyl Engine Code [1] 1,5W-20 (All TEMPS),"6 quarts. . . (with filter)When refilling, remove dipstick to provide adequate venting and allow oil to flow into crankcase. After refill, check oil level. Top off to proper level as needed."
2005,Ford Trucks,EXCURSION,5.4L 8 -cyl Engine Code [L] L,5W-20 (All TEMPS),"6 quarts. . . (with filter)When refilling, remove dipstick to provide adequate venting and allow oil to flow into crankcase. After refill, check oil level. Top off to proper level as needed."
2005,Ford Trucks,EXCURSION,6.0L 8 -cyl Engine Code [P] P Diesel Turbo,0W-30 (-29 To -18),"15 quarts. . . (with filter)When refilling, remove dipstick to provide adequate venting and allow oil to flow into crankcase. After refill, check oil level. Top off to proper level as needed."
2005,Ford Trucks,EXCURSION,6.8L 10-cyl Engine Code [S] S,5W-20 (All TEMPS),"6 quarts. . . (with filter)When refilling, remove dipstick to provide adequate venting and allow oil to flow into crankcase. After refill, check oil level. Top off to proper level as needed."
2005,Ford Trucks,EXPEDITION,5.4L 8 -cyl Engine Code [5] 5,5W-20 (All TEMPS),7 quarts. . . (with filter)After refill check oil level.
2005,Ford Trucks,EXPLORER,4.0L 6 -cyl Engine Code [E] E,5W-30 (All TEMPS),"5 quarts. . . (with filter)When refilling, remove dipstick to provide adequate venting and allow oil to flow into crankcase. After refill, check oil level. Top off to proper level as needed."
